Nome,Semana,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG,Legenda,Link
Abilio Brunini,14-20 MAR/24,19-03-2024,TikTok,Vídeo,95341,0.0832,0.0,1146604.0,92995,1213.0,1133.0,225105.02,"#NikolasPresidente🇧🇷 da comissão de Educação, o futuro é promissor e não vamos desistir do Brasil 🇧🇷🔰✅",https://www.tiktok.com/@abiliobrunini/video/7348135370007072005
Abilio Brunini,14-20 MAR/24,19-03-2024,Instagram,Reels,42200,0.1881,56079.0,0.0,41709,491.0,0.0,40918.39,"#NikolasPresidente🇧🇷 da comissão de Educação, o futuro é promissor e não vamos desistir do Brasil 🇧🇷🔰✅",https://www.instagram.com/reel/C4tHXtrukhv/
Abilio Brunini,14-20 MAR/24,16-03-2024,TikTok,Vídeo,24010,0.1055,0.0,227482.0,18563,2411.0,3036.0,64893.58,🇧🇷 Cuiabá 305 anos com Bolsonaro. Dia 8 de Abril de 2024. Será Inesquecível.,https://www.tiktok.com/@abiliobrunini/video/7347029614327254278
André Fernandes,14-20 MAR/24,18-03-2024,Instagram,Reels,111519,0.107,280034.0,0.0,108389,3130.0,0.0,123647.11,SUPERA!,https://www.instagram.com/reel/C4rF39-PZYV/
André Fernandes,14-20 MAR/24,19-03-2024,Instagram,Reels,108148,0.0897,280190.0,0.0,107041,1107.0,0.0,106914.26,O abuso de Alexandre de Moraes na prisão de Felipe Martins. - Entrevista à The Epoch Times.,https://www.instagram.com/reel/C4sjm4YOtJU/
André Fernandes,14-20 MAR/24,20-03-2024,Instagram,Reels,84947,0.0634,280346.0,0.0,81863,3084.0,0.0,100487.6,Surto coletivo na Comissão de Educação,https://www.instagram.com/reel/C4v3RbmP7FB/
Antonio Carlos Rodrigues,14-20 MAR/24,17-03-2024,Instagram,Vídeo,452,0.0126,8942.0,0.0,417,35.0,0.0,830.3,"Estamos juntos!

ACR 🤝 raquelgallinati 🤝 isacfelix_",https://www.instagram.com/p/C4ny7EJL38o/
Antonio Carlos Rodrigues,14-20 MAR/24,14-03-2024,Instagram,Foto,342,0.0096,8942.0,0.0,283,59.0,0.0,899.86,"Hoje celebramos o Dia Nacional dos Animais, uma oportunidade para refletir sobre a importância de cuidar e proteger todas as formas de vida em nosso planeta.

#dianacionaldosanimais #animais #ACR #ohomemdalampada",https://www.instagram.com/p/C4gGLCmLI_S/
Antonio Carlos Rodrigues,14-20 MAR/24,19-03-2024,Instagram,Foto,302,0.0084,8942.0,0.0,278,24.0,0.0,626.06,"⚠️ Não esqueça: o prazo para tirar ou regularizar o título de eleitor em 2024 é até 8 de maio!

Marque uma pessoa que precisa tirar/regularizar o título 😉

#titulodeeleitor #eleições #ACR #ohomemdalampada",https://www.instagram.com/p/C4tqHSRPtvn/
Bia Kicis,14-20 MAR/24,20-03-2024,Instagram,Reels,222870,0.1147,330299.0,0.0,204565,18305.0,0.0,324342.46,"Aprovado o fim da saidinha! Parabéns pelo incrível trabalho, guilhermederrite. Grande dia! 🇧🇷",https://www.instagram.com/reel/C4wHh7rJE5t/
Bia Kicis,14-20 MAR/24,19-03-2024,Instagram,Foto,69578,0.0358,330212.0,0.0,67151,2427.0,0.0,83903.85,Se enrolou na própria narrativa 🤡,https://www.instagram.com/p/C4sROsaP13D/
Bia Kicis,14-20 MAR/24,19-03-2024,Instagram,Reels,67695,0.0349,330212.0,0.0,65568,2127.0,0.0,80232.47,É sempre bom lembrar quem apoia o Lula.,https://www.instagram.com/reel/C4s6iQKC1L8/
